"m","r","alpha","methods","alpha_prime","t1_err_alpha_prime"
5,5,0.04,"Fisher",0.0325,0.0407666666666667
5,5,0.04,"Simes",0.0325,0.0415333333333333
5,5,0.05,"Fisher",0.03875,0.0494791666666667
5,5,0.05,"Simes",0.0425,0.0533186431623932
5,5,0.06,"Fisher",0.04875,0.0629333333333333
5,5,0.06,"Simes",0.045,0.0578666666666667
5,5,0.07,"Fisher",0.055,0.0672743055555556
5,5,0.07,"Simes",0.055,0.0683426816239316
5,5,0.08,"Fisher",0.065,0.0818
5,5,0.08,"Simes",0.065,0.0817666666666667
5,5,0.09,"Fisher",0.075,0.0911458333333333
5,5,0.09,"Simes",0.07125,0.0883747329059829
5,5,0.1,"Fisher",0.0775,0.0983907585470085
5,5,0.1,"Simes",0.085,0.102597489316239
5,5,0.12,"Fisher",0.0975,0.120766666666667
5,5,0.12,"Simes",0.0975,0.1191
5,5,0.14,"Fisher",0.1175,0.142094017094017
5,5,0.14,"Simes",0.11375,0.137920673076923
5,5,0.16,"Fisher",0.13375,0.161558493589744
5,5,0.16,"Simes",0.13375,0.161091079059829
5,5,0.18,"Fisher",0.15046875,0.182766666666667
5,5,0.18,"Simes",0.151875,0.180566666666667
5,5,0.2,"Fisher",0.171875,0.203926282051282
5,5,0.2,"Simes",0.170234375,0.198884882478632
5,5,0.6,"Fisher",0.57006591796875,0.597966666666667
5,5,0.6,"Simes",0.585,0.597533333333333
5,5,0.8,"Fisher",0.785,0.8009
5,5,0.8,"Simes",0.785,0.8035
5,5,1,"Fisher",0.998125,0.997666666666667
5,5,1,"Simes",0.998125,0.997966666666667
